,L2_Ls_Rs_0,L2_Ls_Rs_1,L2_Re_Rs_0,L2_Re_Rs_1,L2_Le_Ls_0,L2_Le_Ls_1,L2_Rw_Re_0,L2_Rw_Re_1,L2_Lw_Le_0,L2_Lw_Le_1,L2_Rh_Rs_0,L2_Rh_Rs_1,L2_Lh_Ls_0,L2_Lh_Ls_1,L2_Lh_Rh_0,L2_Lh_Rh_1,L2_Rk_Rh_0,L2_Rk_Rh_1,L2_Lk_Lh_0,L2_Lk_Lh_1,L2_Ra_Rk_0,L2_Ra_Rk_1,L2_La_Lk_0,L2_La_Lk_1
492,-0.99388373,0.11043153,-0.84663655,-0.53217155,None,None,-0.20952909,0.97780241,None,None,-0.01801509,-0.99983772,0.097744,-0.99521159,-0.98058068,0.19611614,-0.46441051,-0.88562005,None,None,-0.35112344,-0.93632918,None,None
493,-0.99846035,0.05547002,-0.61564404,-0.78802437,None,None,-0.83957016,0.54325128,None,None,-0.05210305,-0.99864171,0.09604515,-0.99537698,-0.4472136,0.89442719,-0.52709506,-0.84980633,None,None,0.03446228,-0.999406,None,None
494,-0.99654576,0.08304548,-0.39609111,-0.91821121,None,None,-0.90618314,-0.42288547,None,None,-0.10226476,-0.99475722,0.02802637,-0.99960718,0.89442719,0.4472136,-0.4472136,-0.89442719,None,None,0.38074981,-0.9246781,None,None
495,-0.97618706,0.21693046,-0.24667928,-0.96909717,None,None,-0.76822128,-0.6401844,None,None,-0.11043153,-0.99388373,-0.06528101,-0.99786692,-0.8,0.6,-0.38301502,-0.92374211,None,None,0.47967162,-0.87744808,None,None
496,-0.96152395,0.27472113,0.01886457,-0.99982205,None,None,-0.41790561,-0.90849045,None,None,-0.09950372,-0.99503719,-0.09219821,-0.99574067,-0.83205029,0.5547002,-0.43796942,-0.89898987,None,None,0.49738411,-0.86753043,None,None
497,-0.98058068,0.19611614,0.10844751,-0.99410218,None,None,-0.53687549,-0.84366149,None,None,-0.07735374,-0.99700371,-0.13274336,-0.99115044,-0.91036648,0.41380294,-0.47628315,-0.87929197,None,None,0.49243457,-0.87034947,None,None
498,-0.97618706,0.21693046,0.08444308,-0.9964283,None,None,-0.65079137,-0.7592566,None,None,-0.06880209,-0.99763033,-0.08893194,-0.99603771,-0.87789557,0.47885213,-0.47628315,-0.87929197,None,None,0.46999315,-0.88267006,None,None
499,-0.92307692,0.38461538,0.1218913,-0.99254346,None,None,-0.57549341,-0.81780642,None,None,-0.05972227,-0.99821503,-0.05121475,-0.99868766,-0.91036648,0.41380294,-0.45680468,-0.88956702,None,None,0.46527865,-0.88516426,None,None
500,-0.9486833,0.31622777,0.17134117,-0.98521175,None,None,-0.47551703,-0.87970651,None,None,-0.08738375,-0.99617472,-0.07000328,-0.99754676,-0.93334561,0.35897908,-0.37519276,-0.92694681,None,None,0.4472136,-0.89442719,None,None
501,-0.94174191,0.3363364,0.150442,-0.98861884,None,None,-0.46574643,-0.88491822,None,None,-0.11232805,-0.99367118,-0.11137176,-0.99377881,-0.96152395,0.27472113,-0.32290063,-0.94643287,None,None,0.41128887,-0.91150506,None,None
502,-0.9743912,0.22485951,0.06237829,-0.99805258,None,None,-0.4728177,-0.88116027,None,None,-0.15333733,-0.9881739,-0.16163921,-0.98684992,-0.97780241,0.20952909,-0.30274081,-0.95307293,None,None,0.45161416,-0.89221334,None,None
503,-0.70710678,-0.70710678,-0.05255883,-0.99861783,None,None,-0.36765889,-0.92996072,None,None,-0.18976536,-0.98182947,-0.1944164,-0.98091909,-0.8,0.6,-0.27472113,-0.96152395,None,None,0.5195806,-0.85442144,None,None
504,0.0,0.0,-0.03770901,-0.99928876,None,None,-0.37478918,-0.92711007,None,None,-0.1781389,-0.98400535,-0.20952909,-0.97780241,-0.83205029,0.5547002,-0.34079932,-0.94013607,None,None,0.57106449,-0.8209052,None,None
505,0.5547002,-0.83205029,0.0,0.0,None,None,-0.87621591,-0.48191875,None,None,-0.1944897,-0.98090456,-0.21972132,-0.97556268,0.0,0.0,-0.43232946,-0.90171572,None,None,0.5195806,-0.85442144,None,None
506,-0.89442719,-0.4472136,-0.65361987,-0.75682301,None,None,-0.85985474,-0.51053875,None,None,-0.21242964,-0.97717636,-0.15138797,-0.98847442,0.89442719,0.4472136,-0.46788772,-0.88378792,None,None,0.40939173,-0.91235871,None,None
