,L2_Ls_Rs_0,L2_Ls_Rs_1,L2_Re_Rs_0,L2_Re_Rs_1,L2_Le_Ls_0,L2_Le_Ls_1,L2_Rw_Re_0,L2_Rw_Re_1,L2_Lw_Le_0,L2_Lw_Le_1,L2_Rh_Rs_0,L2_Rh_Rs_1,L2_Lh_Ls_0,L2_Lh_Ls_1,L2_Lh_Rh_0,L2_Lh_Rh_1,L2_Rk_Rh_0,L2_Rk_Rh_1,L2_Lk_Lh_0,L2_Lk_Lh_1,L2_Ra_Rk_0,L2_Ra_Rk_1,L2_La_Lk_0,L2_La_Lk_1
446,-0.35046117,-0.93657726,0.53687549,0.84366149,0.09801068,-0.99518536,0.3520643,0.93597582,0.0862911,-0.99626997,0.73780541,-0.67501346,0.95816809,-0.28620605,-0.95373921,-0.30063519,0.4472136,-0.89442719,-0.79908583,-0.60121696,0.42671697,-0.90438522,0.15079799,-0.9885646
447,-0.35046117,-0.93657726,0.53303766,0.84609152,0.10546906,-0.99442258,0.35780919,0.93379472,0.07728751,-0.99700885,0.73780541,-0.67501346,0.95816809,-0.28620605,-0.95373921,-0.30063519,0.4472136,-0.89442719,-0.79908583,-0.60121696,0.42671697,-0.90438522,0.15079799,-0.9885646
448,-0.35046117,-0.93657726,0.53303766,0.84609152,0.10546906,-0.99442258,0.3653832,0.9308572,0.08038419,-0.99676396,0.73780541,-0.67501346,0.95816809,-0.28620605,-0.95373921,-0.30063519,0.44480761,-0.89562614,-0.80274385,-0.596324,0.42671697,-0.90438522,0.14996992,-0.98869056
449,-0.35574458,-0.93458322,0.53303766,0.84609152,0.11290969,-0.99360525,0.3653832,0.9308572,0.04912096,-0.99879284,0.73780541,-0.67501346,0.95867323,-0.28450947,-0.95373921,-0.30063519,0.44480761,-0.89562614,-0.80274385,-0.596324,0.42671697,-0.90438522,0.14996992,-0.98869056
450,-0.35046117,-0.93657726,0.53303766,0.84609152,0.11290969,-0.99360525,0.37288532,0.92787744,0.0464614,-0.99892009,0.73958584,-0.67306225,0.95867323,-0.28450947,-0.95373921,-0.30063519,0.44960991,-0.89322502,-0.80543764,-0.59268053,0.42148653,-0.90683466,0.15539257,-0.9878528
451,-0.35046117,-0.93657726,0.5390537,0.8422714,0.10546906,-0.99442258,0.3653832,0.9308572,0.05255883,-0.99861783,0.74135088,-0.67111763,0.95867323,-0.28450947,-0.95466245,-0.29769044,0.39315385,-0.9194727,-0.80543764,-0.59268053,0.47121523,-0.88201826,0.15539257,-0.9878528
452,-0.35245499,-0.93582877,0.5390537,0.8422714,0.10626511,-0.99433783,0.3653832,0.9308572,0.05728284,-0.99835799,0.74135088,-0.67111763,0.95697246,-0.29017875,-0.95466245,-0.29769044,0.37361084,-0.92758554,-0.80543764,-0.59268053,0.48214445,-0.87609174,0.15539257,-0.9878528
453,-0.35775978,-0.93381365,0.53303766,0.84609152,0.10626511,-0.99433783,0.3653832,0.9308572,0.04163054,-0.99913307,0.73958584,-0.67306225,0.95867323,-0.28450947,-0.95754244,-0.28829235,0.3668682,-0.93027293,-0.80181176,-0.59757669,0.48613423,-0.87388415,0.15624912,-0.98771768
454,-0.36303015,-0.93177739,0.52315553,0.85223723,0.08367499,-0.9964931,0.36836437,0.9296815,0.0,0.0,0.73780541,-0.67501346,0.95867323,-0.28450947,-0.95754244,-0.28829235,0.37139068,-0.92847669,-0.80181176,-0.59757669,0.48125881,-0.87657855,0.15624912,-0.98771768
455,-0.37139068,-0.92847669,0.50702013,0.86193422,0.07611443,-0.99709909,0.36244626,0.93200467,-0.03476159,-0.99939563,0.73405052,-0.67909487,0.95867323,-0.28450947,-0.95838568,-0.28547659,0.36911668,-0.92938306,-0.79818915,-0.60240691,0.48368611,-0.87524154,0.15711505,-0.98758031
